Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
SB216763,Clc1ccc(c(c1)Cl)C1=C(C(=O)NC1=O)c1cn(c2c1cccc2)C,C19H12Cl2N2O2,371.22,25,15,0.05,2,2,1,103.21,51.1,2.51,3.9,3.67,3.6,4.59,3.65,-4.91,4.56E-03,1.23E-05,Moderately soluble,-4.67,7.91E-03,2.13E-05,Moderately soluble,-7.45,1.32E-05,3.56E-08,Poorly soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.8,0,0,0,0,0,0.55,0,1,2,2.99
Tanespimycin,C=CCNC1=C2CC(C)CC(OC)C(O)C(C)C=C(C)C(C(C=CC=C(C(=O)NC(=CC1=O)C2=O)C)OC)OC(=O)N,C31H43N3O8,585.69,42,0,0.48,7,8,4,161.89,166.28,3.18,2.64,2.16,-0.23,1.24,1.8,-4.67,1.25E-02,2.13E-05,Moderately soluble,-5.78,9.66E-04,1.65E-06,Moderately soluble,-4,5.92E-02,1.01E-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-8,2,3,1,1,1,0.17,1,2,1,7.88
Motesanib,O=C(c1cccnc1NCc1ccncc1)Nc1ccc2c(c1)NCC2(C)C,C22H23N5O,373.45,28,18,0.23,6,3,3,114.63,78.94,2.82,3.87,2.94,2.11,3.43,3.04,-4.67,7.93E-03,2.12E-05,Moderately soluble,-5.22,2.23E-03,5.96E-06,Moderately soluble,-8.45,1.32E-06,3.52E-09,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.83,0,0,0,0,0,0.55,0,0,2,2.96
KU-55933,O=c1cc(oc(c1)c1cccc2c1Sc1ccccc1S2)N1CCOCC1,C21H17NO3S2,395.49,27,18,0.19,2,3,0,110.83,93.28,3.54,3.94,4.38,3.4,4.9,4.03,-5.14,2.89E-03,7.32E-06,Moderately soluble,-5.6,9.97E-04,2.52E-06,Moderately soluble,-7.29,2.01E-05,5.07E-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-5.92,0,0,0,0,0,0.55,0,0,2,3.69
Elesclomol,CN(C(=S)c1ccccc1)NC(=O)CC(=O)NN(C(=S)c1ccccc1)C,C19H20N4O2S2,400.52,27,12,0.16,10,2,2,112.11,128.86,2.16,2.89,2.05,2.92,3.22,2.65,-3.81,6.16E-02,1.54E-04,Soluble,-5.26,2.22E-03,5.54E-06,Moderately soluble,-4.99,4.07E-03,1.02E-05,Moderately soluble,High,No,No,No,Yes,No,No,No,-6.69,0,0,0,0,0,0.55,0,2,2,2.77
Afatinib,CN(CC=CC(=O)Nc1cc2c(ncnc2cc1OC1COCC1)Nc1ccc(c(c1)Cl)F)C,C24H25ClFN5O3,485.94,34,16,0.29,9,7,2,129.9,88.61,4.27,3.64,4.62,2.3,3.82,3.73,-4.9,6.11E-03,1.26E-05,Moderately soluble,-5.19,3.14E-03,6.47E-06,Moderately soluble,-7.59,1.23E-05,2.54E-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.68,0,1,0,0,0,0.55,0,1,3,4.08
Vismodegib,O=C(c1ccc(cc1Cl)S(=O)(=O)C)Nc1ccc(c(c1)c1ccccn1)Cl,C19H14Cl2N2O3S,421.3,27,18,0.05,5,4,1,107,84.51,2.41,3.84,5.6,3.24,4.24,3.87,-5.03,3.89E-03,9.23E-06,Moderately soluble,-5.31,2.06E-03,4.89E-06,Moderately soluble,-8.51,1.31E-06,3.11E-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-6.14,0,1,0,0,0,0.55,0,0,2,2.68
Staurosporine,CNC1CC2OC(C1OC)(C)n1c3ccccc3c3c1c1n2c2ccccc2c1c1c3CNC1=O,C28H26N4O3,466.53,35,20,0.32,2,4,2,139.39,69.45,3.29,3.24,3.39,2.6,3.02,3.11,-5.06,4.02E-03,8.62E-06,Moderately soluble,-4.37,1.98E-02,4.25E-05,Moderately soluble,-7.59,1.19E-05,2.56E-08,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.85,0,1,0,0,1,0.55,0,0,1,4.93
PLX-4720,CCCS(=O)(=O)Nc1ccc(c(c1F)C(=O)c1c[nH]c2c1cc(Cl)cn2)F,C17H14ClF2N3O3S,413.83,27,15,0.18,6,6,2,98.78,100.3,2.41,3.34,5.61,2.04,4.2,3.52,-4.53,1.24E-02,2.99E-05,Moderately soluble,-5.12,3.11E-03,7.53E-06,Moderately soluble,-7.63,9.59E-06,2.32E-08,Poorly soluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.45,0,1,0,0,0,0.55,0,0,1,2.91
BX795,O=C(N1CCCC1)Nc1cccc(c1)Nc1ncc(c(n1)NCCCNC(=O)c1cccs1)I,C23H26IN7O2S,591.47,34,17,0.3,12,4,4,147.43,139.52,4.21,4.62,3.98,2.64,3.73,3.84,-6,5.97E-04,1.01E-06,Moderately soluble,-7.28,3.14E-05,5.31E-08,Poorly soluble,-8.38,2.47E-06,4.18E-09,Poorly soluble,Low,No,No,No,Yes,Yes,Yes,Yes,-6.63,1,2,1,1,0,0.55,0,1,3,3.72
NU7441,O=c1cc(oc2c1cccc2c1cccc2c1sc1c2cccc1)N1CCOCC1,C25H19NO3S,413.49,30,23,0.16,2,3,0,126.54,70.92,3.57,5.49,5.28,3.7,6.51,4.91,-6.3,2.08E-04,5.04E-07,Poorly soluble,-6.74,7.57E-05,1.83E-07,Poorly soluble,-8.84,5.92E-07,1.43E-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-4.92,0,0,0,0,1,0.55,0,0,2,3.54
SL0101,CC(=O)OC1C(C)OC(C(C1OC(=O)C)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1ccc(cc1)O,C25H24O12,516.45,37,16,0.32,7,12,4,126.45,182.19,3.31,2.36,1.92,-0.53,1.48,1.71,-4.39,2.12E-02,4.10E-05,Moderately soluble,-5.83,7.71E-04,1.49E-06,Moderately soluble,-3.89,6.68E-02,1.29E-04,Soluble,Low,No,Yes,No,No,No,No,No,-7.77,2,1,1,1,2,0.17,0,1,1,5.6
Doramapimod,O=C(Nc1cc(nn1c1ccc(cc1)C)C(C)(C)C)Nc1ccc(c2c1cccc2)OCCN1CCOCC1,C31H37N5O3,527.66,39,21,0.35,10,5,2,160.34,80.65,4.99,5.74,5.22,3.82,4.48,4.85,-6.47,1.80E-04,3.42E-07,Poorly soluble,-7.2,3.32E-05,6.29E-08,Poorly soluble,-9.29,2.68E-07,5.07E-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.44,1,3,0,0,1,0.55,0,0,3,4.12
JNK Inhibitor VIII,CCOc1nc(NC(=O)Cc2cc(OC)ccc2OC)cc(c1C#N)N,C18H20N4O4,356.38,26,12,0.28,8,6,2,96.44,119.49,2.45,2.16,1.95,0.45,2.28,1.86,-3.22,2.13E-01,5.97E-04,Soluble,-4.3,1.78E-02,4.99E-05,Moderately soluble,-5.42,1.36E-03,3.81E-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-6.94,0,0,0,0,0,0.55,0,0,2,3.23
Wee1 Inhibitor,Oc1ccc2c(c1)c1c([nH]2)cc(c2c1c(=O)[nH]c2=O)c1ccccc1Cl,C20H11ClN2O3,362.77,26,22,0,1,3,3,103.86,85.95,1.77,4.08,3.99,3.2,5.56,3.72,-5.22,2.19E-03,6.03E-06,Moderately soluble,-5.59,9.33E-04,2.57E-06,Moderately soluble,-8.16,2.50E-06,6.89E-09,Poorly soluble,High,No,No,Yes,No,No,No,No,-5.62,0,0,0,0,0,0.55,0,0,2,2.48
Mirin,O=C1N=C(SC1=Cc1ccc(cc1)O)N,C10H8N2O2S,220.25,15,6,0,1,3,2,63.57,100.98,1.13,1.52,0.83,1.07,1.97,1.31,-2.39,8.91E-01,4.04E-03,Soluble,-3.25,1.24E-01,5.64E-04,Soluble,-2.36,9.53E-01,4.33E-03,Soluble,High,No,No,No,No,No,No,No,-6.56,0,0,0,0,0,0.55,1,1,1,3.01
PD173074,CCN(CCCCNc1ncc2c(n1)nc(c(c2)c1cc(OC)cc(c1)OC)NC(=O)NC(C)(C)C)CC,C28H41N7O3,523.67,38,16,0.5,15,7,3,153.57,113.53,4.42,4.5,4.78,2.41,4.05,4.03,-5.24,2.99E-03,5.71E-06,Moderately soluble,-6.6,1.30E-04,2.48E-07,Poorly soluble,-9.38,2.20E-07,4.21E-10,Poorly soluble,High,No,No,No,Yes,No,Yes,Yes,-6.3,1,3,1,0,0,0.55,0,0,3,4.3
