Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
VE821,O=C(c1nc(cnc1N)c1ccc(cc1)S(=O)(=O)C)Nc1ccccc1,C18H16N4O3S,368.41,26,18,0.06,5,5,2,99.18,123.42,1.69,2.05,3.28,1.08,1.68,1.96,-3.6,9.30E-02,2.52E-04,Soluble,-4.27,1.98E-02,5.37E-05,Moderately soluble,-6.59,9.51E-05,2.58E-07,Poorly soluble,High,No,No,No,No,Yes,Yes,Yes,-7.09,0,0,0,0,0,0.55,0,0,1,2.89
POMHEX,ON1CCCC(C1=O)P(=O)(OCOC(=O)C(C)(C)C)OCOC(=O)C(C)(C)C,C17H30NO9P,423.4,28,0,0.82,11,9,1,102.34,138.48,3.69,1.81,2.31,1.3,0.26,1.87,-2.88,5.59E-01,1.32E-03,Soluble,-4.34,1.95E-02,4.60E-05,Moderately soluble,-1.7,8.51E+00,2.01E-02,Soluble,High,No,Yes,No,Yes,No,Yes,No,-7.6,0,0,1,1,0,0.55,0,4,2,4.95
GSK-LSD1-2HCl,N1CCC(CC1)NC1CC1c1ccccc1.Cl.Cl,C14H22Cl2N2,289.24,18,6,0.57,3,2,2,84.28,24.06,0,3.47,3.11,2.79,2.48,2.37,-3.87,3.92E-02,1.35E-04,Soluble,-3.66,6.37E-02,2.20E-04,Soluble,-4.03,2.67E-02,9.25E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.6,0,0,0,0,0,0.55,0,0,0,2.49
5-azacytidine,OCC1OC(C(C1O)O)n1cnc(nc1=O)N,C8H12N4O5,244.2,17,6,0.62,2,7,4,53.64,143.72,0.62,-2.17,-3.48,-2.98,-2.72,-2.15,-0.12,1.87E+02,7.65E-01,Very soluble,-0.32,1.18E+02,4.81E-01,Very soluble,1.38,5.90E+03,2.42E+01,Soluble,Low,No,No,No,No,No,No,No,-9.33,0,1,1,1,1,0.55,0,0,1,3.77
A-366,COc1cc2c(cc1OCCCN1CCCC1)N=C(C12CCC1)N,C19H27N3O2,329.44,24,6,0.63,6,4,1,103.25,60.08,3.32,2.16,2.22,2.46,3.76,2.78,-3.03,3.06E-01,9.28E-04,Soluble,-3.05,2.91E-01,8.82E-04,Soluble,-4.94,3.76E-03,1.14E-05,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-6.78,0,0,0,0,0,0.55,0,0,0,4.04
CPI-637,CC1CC(=O)Nc2c(N1)c(ccc2)c1ccc2c(c1)c(nn2C)c1cnn(c1)C,C22H22N6O,386.45,29,20,0.23,2,3,2,121.1,76.77,2.54,2.47,2.64,2.15,2.38,2.44,-4.17,2.61E-02,6.75E-05,Moderately soluble,-3.73,7.25E-02,1.88E-04,Soluble,-6.82,5.86E-05,1.52E-07,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.9,0,0,0,0,0,0.55,0,0,1,3.67
UNC0379,COc1cc2c(NCCCCCN3CCCC3)nc(nc2cc1OC)N1CCCC1,C23H35N5O2,413.56,30,10,0.65,10,5,1,129.62,62.75,4.52,4.34,2.97,2.41,3.7,3.59,-4.72,7.79E-03,1.88E-05,Moderately soluble,-5.37,1.75E-03,4.24E-06,Moderately soluble,-6.46,1.43E-04,3.47E-07,Poorly soluble,High,Yes,No,No,No,No,Yes,No,-5.74,0,0,0,0,0,0.55,0,0,3,3.47
AZD6482,Cc1cc(C(Nc2ccccc2C(=O)O)C)c2n(c1)c(=O)cc(n2)N1CCOCC1,C22H24N4O4,408.45,30,16,0.32,5,5,2,117.71,96.17,2.9,1.96,1.81,0.6,2.12,1.88,-3.67,8.70E-02,2.13E-04,Soluble,-3.6,1.02E-01,2.49E-04,Soluble,-5.28,2.16E-03,5.30E-06,Moderately soluble,High,No,Yes,No,No,Yes,No,Yes,-7.4,0,0,0,0,0,0.56,0,0,1,3.6
AT13148,NCC(c1ccc(cc1)Cl)(c1ccc(cc1)c1c[nH]nc1)O,C17H16ClN3O,313.78,22,17,0.12,4,3,3,87.05,74.93,1.75,2.16,2.82,2.16,3.61,2.5,-3.45,1.10E-01,3.52E-04,Soluble,-3.37,1.35E-01,4.30E-04,Soluble,-6.39,1.29E-04,4.10E-07,Poorly soluble,High,Yes,Yes,No,Yes,No,Yes,Yes,-6.68,0,0,0,0,0,0.55,0,0,0,2.77
BMS-754807,Fc1ccc(cn1)NC(=O)C1(C)CCCN1c1nc(Nc2n[nH]c(c2)C2CC2)c2n(n1)ccc2,C23H24FN9O,461.49,34,20,0.35,7,6,3,128.22,116.13,2.49,2.93,3.39,2.84,1.84,2.7,-4.52,1.39E-02,3.02E-05,Moderately soluble,-5.03,4.30E-03,9.32E-06,Moderately soluble,-6.83,6.84E-05,1.48E-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.03,0,0,0,0,0,0.55,0,1,1,4.36
JQ1,O=C(OC(C)(C)C)CC1N=C(c2ccc(cc2)Cl)c2c(n3c1nnc3C)sc(c2C)C,C23H25ClN4O2S,456.99,31,16,0.39,5,5,0,128.62,97.61,3.9,4.85,4.83,3.63,6.6,4.76,-5.78,7.57E-04,1.66E-06,Moderately soluble,-6.63,1.06E-04,2.32E-07,Poorly soluble,-7.64,1.03E-05,2.26E-08,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-5.64,0,0,0,0,0,0.55,0,0,2,4.64
PFI-1,COc1ccccc1S(=O)(=O)Nc1ccc2c(c1)CN(C(=O)N2)C,C16H17N3O4S,347.39,24,12,0.19,4,4,2,97.35,96.12,1.88,1.18,2.26,1.22,0.66,1.44,-2.84,4.98E-01,1.43E-03,Soluble,-2.79,5.58E-01,1.61E-03,Soluble,-5.2,2.21E-03,6.35E-06,Moderately soluble,High,No,Yes,No,No,No,No,No,-7.58,0,0,0,0,0,0.55,0,0,0,2.95
IOX2,OC(=O)CNC(=O)c1c(O)c2ccccc2n(c1=O)Cc1ccccc1,C19H16N2O5,352.34,26,16,0.11,6,5,3,95.56,108.63,0.71,2.01,1.57,1.49,1.9,1.53,-3.35,1.57E-01,4.46E-04,Soluble,-3.92,4.25E-02,1.21E-04,Soluble,-4.87,4.79E-03,1.36E-05,Moderately soluble,High,No,No,No,No,No,No,No,-7.02,0,0,0,0,0,0.56,0,0,1,2.48
CHIR-99021,N#Cc1ccc(nc1)NCCNc1ncc(c(n1)c1ccc(cc1Cl)Cl)c1ncc([nH]1)C,C22H18Cl2N8,465.34,32,23,0.14,7,5,3,125.49,115.2,3.3,4.3,4.56,1.85,4.9,3.78,-5.5,1.46E-03,3.13E-06,Moderately soluble,-6.43,1.72E-04,3.69E-07,Poorly soluble,-10.15,3.32E-08,7.13E-11,Insoluble,High,No,No,Yes,Yes,Yes,Yes,Yes,-6.09,0,0,0,0,0,0.55,0,0,2,3.49
SGC0946,O=C(Nc1ccc(cc1)C(C)(C)C)NCCCN(C(C)C)CC1OC(C(C1O)O)n1cc(c2c1ncnc2N)Br,C28H40BrN7O4,618.57,40,15,0.54,12,7,5,159.45,150.79,4.12,3.05,3.11,1.71,1.58,2.71,-5.08,5.12E-03,8.28E-06,Moderately soluble,-5.88,8.10E-04,1.31E-06,Moderately soluble,-6.21,3.77E-04,6.10E-07,Poorly soluble,Low,No,No,No,No,No,No,Yes,-7.91,2,3,2,1,2,0.17,0,0,2,5.53
